C:\Users\이우진\.jdks\corretto-11.0.19\bin\jcmd.exe 4336 GC.class_histogram
4336:
 num     #instances         #bytes  class name (module)
 219:            17            408  sun.nio.ch.SocketOptionRegistry$RegistryKey (java.base@11.0.19)
 220:            17            408  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@11.0.19)
 221:             4            400  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 222:            10            400  com.intellij.util.io.IntToIntBtree$BtreeIndexNodeView
 223:            10            400  java.lang.OutOfMemoryError (java.base@11.0.19)
 224:             9            392  [Ljava.lang.invoke.MethodType; (java.base@11.0.19)
 225:             7            384  [Ljava.util.Hashtable$Entry; (java.base@11.0.19)
 226:             8            384  com.intellij.util.io.PersistentMapImpl$2
 227:            16            384  java.lang.Class$AnnotationData (java.base@11.0.19)
 228:             6            384  java.nio.DirectByteBufferR (java.base@11.0.19)
 229:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@11.0.19)
 230:             1            376  java.util.logging.LogManager$Cleaner (java.logging@11.0.19)
 231:             1            376  jdk.internal.misc.InnocuousThread (java.base@11.0.19)
 232:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@11.0.19)
 233:            11            352  [Ljava.lang.invoke.LambdaFormEditor$Transform; (java.base@11.0.19)
 234:            11            352  java.lang.invoke.VarHandle$AccessDescriptor (java.base@11.0.19)
 235:             5            344  [D (java.base@11.0.19)
 236:             7            336  it.unimi.dsi.fastutil.objects.ObjectOpenCustomHashSet
 237:             6            336  java.nio.DirectLongBufferU (java.base@11.0.19)
 238:             7            336  java.nio.HeapByteBuffer (java.base@11.0.19)
 239:             7            336  java.util.Hashtable (java.base@11.0.19)
 240:            14            336  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@11.0.19)
 241:            21            336  org.jetbrains.jps.model.ex.JpsElementChildRoleBase
 242:             3            336  sun.nio.ch.SocketChannelImpl (java.base@11.0.19)
 243:             1            328  java.util.concurrent.ForkJoinPool (java.base@11.0.19)
 244:            20            320  java.lang.ThreadLocal (java.base@11.0.19)
 245:             8            320  java.util.IdentityHashMap (java.base@11.0.19)
 246:             8            320  java.util.PropertyResourceBundle (java.base@11.0.19)
 247:            17            304  [Lsun.reflect.generics.tree.TypeArgument; (java.base@11.0.19)
 248:            19            304  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock (java.base@11.0.19)
 249:            19            304  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter (java.base@11.0.19)
 250:            19            304  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock (java.base@11.0.19)
 251:             9            288  com.intellij.util.io.IntToIntBtree$BtreeRootNode
 252:            12            288  java.net.StandardSocketOptions$StdSocketOption (java.base@11.0.19)
 253:             9            288  java.util.logging.Level (java.logging@11.0.19)
 254:             9            288  java.util.logging.Level$KnownLevel (java.logging@11.0.19)
 255:             9            288  jdk.internal.org.objectweb.asm.Type (java.base@11.0.19)
 256:             9            288  org.jetbrains.jps.incremental.storage.BuildTargetConfiguration
 257:            12            288  org.jetbrains.jps.model.ex.JpsElementCollectionRole
 258:             9            288  sun.reflect.generics.repository.ClassRepository (java.base@11.0.19)
 259:             1            280  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@11.0.19)
 260:             5            280  io.netty.channel.DefaultChannelHandlerContext
 261:             5            280  sun.util.calendar.ZoneInfo (java.base@11.0.19)
 262:            17            272  io.netty.channel.$Proxy3
 263:            17            272  sun.invoke.util.ValueConversions$WrapperCache (java.base@11.0.19)
 264:            17            272  sun.reflect.generics.tree.ClassTypeSignature (java.base@11.0.19)
 265:            11            264  com.intellij.util.io.PagedFileStorageCache$CachedBuffer
 266:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@11.0.19)
 267:            11            264  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@11.0.19)
 268:            11            264  java.util.regex.Pattern$BmpCharProperty (java.base@11.0.19)
 269:            11            264  java.util.regex.Pattern$GroupHead (java.base@11.0.19)
 270:            11            264  java.util.regex.Pattern$GroupTail (java.base@11.0.19)
 271:            11            264  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@11.0.19)
 272:            11            264  org.jdom.AttributeType
 273:             8            256  com.intellij.util.containers.LimitedPool
 274:             8            256  com.intellij.util.containers.UnsafeWeakList$MyReference
 275:             8            256  com.intellij.util.io.PersistentMapImpl$MyEnumeratorRecordHandler
 276:             4            256  java.lang.ClassValue$ClassValueMap (java.base@11.0.19)
 277:             8            256  java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo (java.base@11.0.19)
 278:            16            256  java.util.Collections$SingletonSet (java.base@11.0.19)
 279:             6            240  com.intellij.util.containers.hash.LinkedHashMap$Entry
 280:             6            240  java.lang.ClassLoader$NativeLibrary (java.base@11.0.19)
 281:             3            240  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLLLII (java.base@11.0.19)
 282:            10            240  java.nio.charset.CoderResult (java.base@11.0.19)
 283:            10            240  java.nio.file.StandardOpenOption (java.base@11.0.19)
 284:             5            240  java.util.concurrent.LinkedBlockingQueue (java.base@11.0.19)
 285:            10            240  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@11.0.19)
 286:             2            224  [Lio.netty.buffer.PoolArena;
 287:             5            224  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@11.0.19)
 288:             4            224  com.intellij.util.io.keyStorage.AppendableStorageBackedByResizableMappedFile
 289:             7            224  java.lang.ClassValue$Entry (java.base@11.0.19)
 290:             7            224  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@11.0.19)
 291:             7            224  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite (java.base@11.0.19)
 292:             7            224  java.util.Hashtable$Entry (java.base@11.0.19)
 293:            14            224  java.util.LinkedHashSet (java.base@11.0.19)
 294:             7            224  java.util.RegularEnumSet (java.base@11.0.19)
 295:             7            224  java.util.Vector (java.base@11.0.19)
 296:             7            224  java.util.concurrent.atomic.AtomicIntegerFieldUpdater$AtomicIntegerFieldUpdaterImpl (java.base@11.0.19)
 297:             7            224  java.util.concurrent.atomic.AtomicLongFieldUpdater$CASUpdater (java.base@11.0.19)
 298:            14            224  org.jetbrains.jps.model.JpsElementChildRole
 299:             2            224  sun.security.provider.HashDrbg (java.base@11.0.19)
 300:             3            216  com.google.protobuf.MessageSchema
 301:             9            216  com.intellij.util.io.PersistentEnumeratorBase$Version
 302:             9            216  java.io.ExpiringCache$Entry (java.base@11.0.19)
 303:             9            216  sun.reflect.generics.tree.ClassSignature (java.base@11.0.19)
 304:             9            216  sun.util.logging.PlatformLogger$Level (java.base@11.0.19)
 305:             2            208  java.net.URLClassLoader (java.base@11.0.19)
 306:             5            200  java.lang.invoke.DirectMethodHandle$Constructor (java.base@11.0.19)
 307:             5            200  java.util.EnumMap (java.base@11.0.19)
 308:             5            200  java.util.stream.StreamOpFlag (java.base@11.0.19)
 309:             5            200  jdk.internal.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl (java.base@11.0.19)
 310:             8            192  com.intellij.openapi.util.LowMemoryWatcher
 311:             8            192  com.intellij.util.io.PersistentHashMapValueStorage$CreationTimeOptions
 312:             3            192  it.unimi.dsi.fastutil.objects.ObjectLinkedOpenCustomHashSet
 313:             3            192  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLII (java.base@11.0.19)
 314:             6            192  java.lang.invoke.LambdaForm$BasicType (java.base@11.0.19)
 315:             6            192  java.net.InetAddress$InetAddressHolder (java.base@11.0.19)
 316:             8            192  java.net.NetPermission (java.base@11.0.19)
 317:             8            192  java.util.Arrays$ArrayList (java.base@11.0.19)
 318:             6            192  java.util.ImmutableCollections$MapN (java.base@11.0.19)
 319:             6            192  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl (java.base@11.0.19)
 320:             6            192  java.util.regex.Pattern$Branch (java.base@11.0.19)
 321:             8            192  org.jetbrains.jps.incremental.BuilderCategory
 322:             4            192  sun.nio.cs.StreamEncoder (java.base@11.0.19)
 323:             4            192  sun.nio.cs.UTF_8$Encoder (java.base@11.0.19)
 324:             8            192  sun.reflect.generics.factory.CoreReflectionFactory (java.base@11.0.19)
 325:             8            192  sun.reflect.generics.scope.ClassScope (java.base@11.0.19)
 326:             4            192  sun.util.resources.Bundles$BundleReference (java.base@11.0.19)
 327:             9            176  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@11.0.19)
 328:             2            176  jdk.internal.reflect.DelegatingClassLoader (java.base@11.0.19)
 329:            11            176  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@11.0.19)
 330:             7            168  com.google.protobuf.GeneratedMessageLite$MethodToInvoke
 331:             7            168  java.lang.System$Logger$Level (java.base@11.0.19)
 332:             7            168  java.lang.invoke.VarForm (java.base@11.0.19)
 333:             3            168  java.util.Properties (java.base@11.0.19)
 334:             7            168  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@11.0.19)
 335:             7            168  org.jdom.Content$CType
 336:             7            168  org.jetbrains.jps.api.CmdlineRemoteProto$Message$BuilderMessage$Type
 337:             7            168  org.jetbrains.jps.incremental.GlobalContextKey
 338:             2            160  [Lcom.intellij.util.containers.SLRUMap;
 339:             2            160  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@11.0.19)
 340:             6            160  [Ljava.security.ProtectionDomain; (java.base@11.0.19)
 341:             4            160  io.netty.util.internal.ObjectPool$RecyclerObjectPool$1
 342:             2            160  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLLIIL (java.base@11.0.19)
 343:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@11.0.19)
 344:             5            160  java.util.Collections$SynchronizedMap (java.base@11.0.19)
 345:            10            160  java.util.Formatter$Flags (java.base@11.0.19)
 346:             5            160  org.jetbrains.jps.model.library.impl.JpsLibraryImpl
 347:             5            160  org.jetbrains.jps.model.library.impl.sdk.JpsSdkImpl
 348:             5            160  sun.reflect.annotation.AnnotationType (java.base@11.0.19)
 349:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@11.0.19)
 350:             1            152  io.netty.channel.nio.NioEventLoop
 351:             1            144  [Lcom.fasterxml.aalto.in.ByteBasedPNameTable$Bucket;
 352:             1            144  [Lio.netty.buffer.LongPriorityQueue;
 353:             3            144  [Lio.netty.util.internal.PriorityQueueNode;
 354:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@11.0.19)
 355:             1            144  [Ljava.util.concurrent.ForkJoinPool$WorkQueue; (java.base@11.0.19)
 356:             1            144  [Ljava.util.concurrent.ForkJoinTask$ExceptionNode; (java.base@11.0.19)
 357:             6            144  [Ljava.util.regex.Pattern$Node; (java.base@11.0.19)
 358:             9            144  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@11.0.19)
 359:             2            144  com.fasterxml.aalto.in.ReaderConfig
 360:             6            144  com.intellij.diagnostic.LoadingState
 361:             9            144  com.intellij.util.containers.CollectionFactory$1
 362:             3            144  com.intellij.util.io.FileAccessorCache$1
 363:             9            144  com.intellij.util.io.PersistentBTreeEnumerator$RecordBufferHandler
 364:             6            144  java.lang.Thread$State (java.base@11.0.19)
 365:             3            144  java.lang.ThreadGroup (java.base@11.0.19)
 366:             2            144  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLIIL (java.base@11.0.19)
 367:             6            144  java.lang.invoke.StringConcatFactory$Strategy (java.base@11.0.19)
 368:             6            144  java.net.Inet4Address (java.base@11.0.19)
 369:             6            144  java.net.InetSocketAddress$InetSocketAddressHolder (java.base@11.0.19)
 370:             6            144  java.util.regex.Pattern$BitClass (java.base@11.0.19)
 371:             6            144  jdk.internal.perf.PerfCounter (java.base@11.0.19)
 372:             6            144  org.jetbrains.jps.incremental.ResourcesTarget
