C:\Users\이우진\.jdks\corretto-11.0.19\bin\jcmd.exe 33000 GC.class_histogram -all
33000:
 num     #instances         #bytes  class name (module)
 215:             2             80  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@11.0.19)
 216:             2             80  [Ljava.util.stream.StreamOpFlag$Type; (java.base@11.0.19)
 217:             2             80  [Lsun.util.locale.provider.LocaleProviderAdapter$Type; (java.base@11.0.19)
 218:             2             80  java.io.BufferedInputStream (java.base@11.0.19)
 219:             2             80  java.io.ExpiringCache (java.base@11.0.19)
 220:             2             80  java.io.FileInputStream (java.base@11.0.19)
 221:             2             80  java.io.FileOutputStream (java.base@11.0.19)
 222:             2             80  java.io.PrintStream (java.base@11.0.19)
 223:             2             80  java.lang.ModuleLayer (java.base@11.0.19)
 224:             2             80  java.lang.VirtualMachineError (java.base@11.0.19)
 225:             2             80  java.lang.invoke.DirectMethodHandle$Constructor (java.base@11.0.19)
 226:             2             80  java.lang.invoke.DirectMethodHandle$Special (java.base@11.0.19)
 227:             2             80  java.lang.module.Configuration (java.base@11.0.19)
 228:             2             80  java.util.IdentityHashMap (java.base@11.0.19)
 229:             5             80  java.util.Optional (java.base@11.0.19)
 230:             2             80  java.util.ServiceLoader$LazyClassPathLookupIterator (java.base@11.0.19)
 231:             2             80  sun.nio.fs.WindowsPath (java.base@11.0.19)
 232:             1             80  sun.util.cldr.CLDRLocaleProviderAdapter (java.base@11.0.19)
 233:             1             80  sun.util.locale.provider.JRELocaleProviderAdapter (java.base@11.0.19)
 234:             1             80  sun.util.locale.provider.LocaleProviderAdapter$NonExistentAdapter (java.base@11.0.19)
 235:             3             72  java.lang.StringCoding$Result (java.base@11.0.19)
 236:             3             72  java.lang.ThreadLocal$ThreadLocalMap (java.base@11.0.19)
 237:             3             72  java.lang.WeakPairMap (java.base@11.0.19)
 238:             3             72  java.lang.invoke.Invokers (java.base@11.0.19)
 239:             3             72  java.net.Proxy$Type (java.base@11.0.19)
 240:             3             72  java.util.ArrayDeque (java.base@11.0.19)
 241:             3             72  java.util.Collections$UnmodifiableCollection$1 (java.base@11.0.19)
 242:             3             72  java.util.LinkedList$Node (java.base@11.0.19)
 243:             3             72  java.util.ServiceLoader$1 (java.base@11.0.19)
 244:             3             72  java.util.concurrent.atomic.AtomicLong (java.base@11.0.19)
 245:             3             72  java.util.stream.Collector$Characteristics (java.base@11.0.19)
 246:             1             72  java.util.zip.ZipFile$Source (java.base@11.0.19)
 247:             3             72  jdk.internal.jimage.BasicImageReader$1 (java.base@11.0.19)
 248:             3             72  jdk.internal.module.IllegalAccessLogger$Mode (java.base@11.0.19)
 249:             1             72  sun.nio.ch.FileChannelImpl (java.base@11.0.19)
 250:             3             72  sun.nio.fs.NativeBuffer$Deallocator (java.base@11.0.19)
 251:             3             72  sun.util.resources.LocaleData$1 (java.base@11.0.19)
 252:             1             64  [Ljava.lang.invoke.MethodHandleImpl$Intrinsic; (java.base@11.0.19)
 253:             2             64  [Ljava.nio.charset.CoderResult; (java.base@11.0.19)
 254:             2             64  [Ljava.util.stream.Collector$Characteristics; (java.base@11.0.19)
 255:             2             64  [Lsun.nio.fs.NativeBuffer; (java.base@11.0.19)
 256:             2             64  java.io.BufferedOutputStream (java.base@11.0.19)
 257:             2             64  java.io.DataInputStream (java.base@11.0.19)
 258:             2             64  java.lang.Package (java.base@11.0.19)
 259:             2             64  java.lang.StringCoding$StringDecoder (java.base@11.0.19)
 260:             2             64  java.lang.ref.ReferenceQueue$Null (java.base@11.0.19)
 261:             2             64  java.security.BasicPermissionCollection (java.base@11.0.19)
 262:             4             64  java.security.SecureClassLoader$CodeSourceKey (java.base@11.0.19)
 263:             4             64  java.util.Properties$EntrySet (java.base@11.0.19)
 264:             4             64  java.util.ResourceBundle$ResourceBundleProviderHelper$$Lambda$17/0x00000008000a8440 (java.base@11.0.19)
 265:             2             64  java.util.ServiceLoader$ModuleServicesLookupIterator (java.base@11.0.19)
 266:             4             64  java.util.concurrent.ConcurrentHashMap$EntrySetView (java.base@11.0.19)
 267:             1             64  java.util.jar.JarFile (java.base@11.0.19)
 268:             2             64  java.util.stream.FindOps$FindOp (java.base@11.0.19)
 269:             4             64  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@11.0.19)
 270:             1             64  sun.nio.fs.WindowsFileAttributes (java.base@11.0.19)
 271:             1             56  [[I (java.base@11.0.19)
 272:             1             56  java.lang.invoke.BoundMethodHandle$Specializer (java.base@11.0.19)
 273:             1             56  java.lang.invoke.LambdaFormEditor$Transform (java.base@11.0.19)
 274:             1             56  java.net.SocketInputStream (java.base@11.0.19)
 275:             1             56  jdk.internal.ref.CleanerImpl$SoftCleanableRef (java.base@11.0.19)
 276:             2             48  [Ljava.security.ProtectionDomain; (java.base@11.0.19)
 277:             1             48  [Ljava.util.concurrent.TimeUnit; (java.base@11.0.19)
 278:             1             48  java.io.BufferedReader (java.base@11.0.19)
 279:             2             48  java.io.ByteArrayOutputStream (java.base@11.0.19)
 280:             2             48  java.io.File$PathStatus (java.base@11.0.19)
 281:             2             48  java.lang.Class$1 (java.base@11.0.19)
 282:             3             48  java.lang.ClassLoader$2 (java.base@11.0.19)
 283:             2             48  java.lang.NamedPackage (java.base@11.0.19)
 284:             2             48  java.lang.RuntimePermission (java.base@11.0.19)
 285:             1             48  java.lang.invoke.BoundMethodHandle$Specializer$Factory (java.base@11.0.19)
 286:             1             48  java.net.SocketCleanable (java.base@11.0.19)
 287:             3             48  java.nio.channels.FileChannel$MapMode (java.base@11.0.19)
 288:             3             48  java.nio.charset.CodingErrorAction (java.base@11.0.19)
 289:             2             48  java.security.SecureClassLoader$1 (java.base@11.0.19)
 290:             2             48  java.util.Date (java.base@11.0.19)
 291:             3             48  java.util.LinkedHashMap$LinkedKeySet (java.base@11.0.19)
 292:             3             48  java.util.ResourceBundle$NoFallbackControl (java.base@11.0.19)
 293:             2             48  java.util.ServiceLoader$2 (java.base@11.0.19)
